customer_id,product_id,sale_month,sale_year,unit_sale,product_rate,total_amount
1124,8457,April,2025,10,61.2,612
1124,8602,April,2025,1,362.34,362.34
1124,8901,April,2025,1,187,187
1125,3,April,2025,2,324.7,649.4
1125,25,April,2025,5,118.15,590.75
1125,8406,April,2025,4,92,368
1125,8457,April,2025,10,61.2,612
1125,8603,April,2025,10,51.85,518.5
1125,8974,April,2025,13,119,1547
1125,8980,April,2025,10,93.5,935
1128,3,April,2025,6,324.7,1948.2
1128,16,April,2025,5,255,1275
1128,25,April,2025,20,118.15,2363
1128,8164,April,2025,20,119,2380
1128,8457,April,2025,20,61.2,1224
1128,8467,April,2025,3,333.2,999.6
1128,8485,April,2025,20,93.5,1870
1128,8512,April,2025,10,104.55,1045.5
1128,8534,April,2025,10,102,1020
1128,8594,April,2025,10,228.02,2280.2
1128,8674,April,2025,10,85,850
1128,8974,April,2025,10,119,1190
1129,3,April,2025,2,324.7,649.4
1129,8510,April,2025,1,599.15,599.15
1129,8527,April,2025,2,29.75,59.5
1129,8673,April,2025,2,41.34,82.68
1129,8891,April,2025,2,72.25,144.5
1129,8974,April,2025,2,119,238
1129,8980,April,2025,2,93.5,187
1131,3,April,2025,3,324.7,974.1
1131,50,April,2025,10,170,1700
1131,8164,April,2025,20,119,2380
1131,8406,April,2025,10,92,920
1131,8457,April,2025,20,61.2,1224
1131,8467,April,2025,3,333.2,999.6
1131,8594,April,2025,2,228.02,456.04
1131,8603,April,2025,10,51.85,518.5
1131,8664,April,2025,10,63.75,637.5
1131,8974,April,2025,10,119,1190
1133,3,April,2025,2,324.7,649.4
1133,8457,April,2025,20,61.2,1224
1133,8467,April,2025,4,333.2,1332.8
1133,8594,April,2025,5,228.02,1140.1
1138,3,April,2025,5,324.7,1623.5
1138,25,April,2025,20,118.15,2363
1138,50,April,2025,4,170,680
1138,8457,April,2025,10,61.2,612
1138,8467,April,2025,4,333.2,1332.8
1138,8485,April,2025,4,93.5,374
1138,8594,April,2025,3,228.02,684.06
1138,8664,April,2025,10,63.75,637.5
1138,8974,April,2025,4,119,476
1140,3,April,2025,5,324.7,1623.5
1140,25,April,2025,10,118.15,1181.5
1140,8164,April,2025,10,119,1190
1140,8664,April,2025,110,63.75,7012.5
1145,8534,April,2025,10,102,1020
1150,8974,April,2025,4,119,476
1152,3,April,2025,10,324.7,3247
1152,25,April,2025,20,118.15,2363
1152,8457,April,2025,20,61.2,1224
1152,8467,April,2025,10,333.2,3332
1152,8534,April,2025,10,102,1020
1152,8664,April,2025,10,63.75,637.5
1152,8901,April,2025,2,187,374
1169,25,April,2025,10,118.15,1181.5
1169,8413,April,2025,3,95.17,285.51
1169,8457,April,2025,10,61.2,612
1169,8467,April,2025,2,333.2,666.4
1169,8485,April,2025,10,93.5,935
1169,8594,April,2025,2,228.02,456.04
1169,8603,April,2025,10,51.85,518.5
1169,8664,April,2025,5,63.75,318.75
1169,8974,April,2025,5,119,595
1182,3,April,2025,2,324.7,649.4
1182,8457,April,2025,9,61.2,550.8
1182,8603,April,2025,4,51.85,207.4
1182,8664,April,2025,3,63.75,191.25
1182,8974,April,2025,20,119,2380
1182,8980,April,2025,4,93.5,374
1190,25,April,2025,100,118.15,11815
1190,8164,April,2025,20,119,2380
1190,8413,April,2025,20,95.17,1903.4
1190,8457,April,2025,50,61.2,3060
1190,8467,April,2025,80,333.2,26656
1190,8485,April,2025,150,93.5,14025
1190,8510,April,2025,10,599.15,5991.5
1190,8512,April,2025,100,104.55,10455
1190,8603,April,2025,100,51.85,5185
1190,8605,April,2025,100,74.35,7435
1190,8664,April,2025,100,63.75,6375
1190,9001,April,2025,20,55.25,1105
1190,9012,April,2025,20,465.38,9307.6
1191,3,April,2025,10,324.7,3247
1191,16,April,2025,30,255,7650
1191,23,April,2025,20,79.67,1593.4
1191,8164,April,2025,40,119,4760
