customer_id,product_id,sale_month,sale_year,unit_return,product_rate,total_return_amount
1191,8633,April,2025,2,79.81,159.62
1191,8664,April,2025,27,63.75,1721.25
1191,8673,April,2025,3,41.34,124.02
1191,8901,April,2025,1,187,187
1191,8974,April,2025,1,119,119
1191,8986,April,2025,10,93.5,935
1191,9001,April,2025,15,55.25,828.75
1191,9065,April,2025,2,99.45,198.9
1193,25,April,2025,2,118.15,236.3
1193,8457,April,2025,1,61.2,61.2
1195,8457,April,2025,1,61.2,61.2
1195,8485,April,2025,1,93.5,93.5
1195,8664,April,2025,1,63.75,63.75
1206,8457,April,2025,2,61.2,122.4
1206,8474,April,2025,1,125.65,125.65
1206,8603,April,2025,1,51.85,51.85
1206,8673,April,2025,1,41.34,41.34
1206,8974,April,2025,1,119,119
1206,8980,April,2025,1,93.5,93.5
1227,44,April,2025,1,90.94,90.94
1227,8457,April,2025,2,61.2,122.4
1232,8164,April,2025,1,119,119
1232,8603,April,2025,1,51.85,51.85
1245,23,April,2025,1,79.67,79.67
1245,25,April,2025,2,118.15,236.3
1245,8413,April,2025,1,95.17,95.17
1245,8467,April,2025,1,333.2,333.2
1245,8485,April,2025,1,93.5,93.5
1245,8594,April,2025,1,228.02,228.02
1245,8603,April,2025,1,51.85,51.85
1245,8633,April,2025,2,79.81,159.62
1245,8664,April,2025,2,63.75,127.5
1245,8673,April,2025,1,41.34,41.34
1245,8901,April,2025,1,187,187
1245,8974,April,2025,2,119,238
1245,8975,April,2025,1,34,34
1247,8974,April,2025,1,119,119
1248,25,April,2025,1,118.15,118.15
1248,8164,April,2025,1,119,119
1248,8406,April,2025,1,92,92
1248,8457,April,2025,1,61.2,61.2
1248,8664,April,2025,1,63.75,63.75
1258,8457,April,2025,1,61.2,61.2
1258,8620,April,2025,1,144.5,144.5
1282,25,April,2025,3,118.15,354.45
1282,8164,April,2025,1,119,119
1282,8974,April,2025,1,119,119
1316,25,April,2025,3,118.15,354.45
1323,8164,April,2025,1,119,119
1323,8406,April,2025,1,92,92
1323,8474,April,2025,2,125.65,251.3
1323,8534,April,2025,1,102,102
1323,8815,April,2025,1,101.88,101.88
1325,25,April,2025,1,118.15,118.15
1325,8457,April,2025,1,61.2,61.2
1325,8664,April,2025,1,63.75,63.75
1328,25,April,2025,30,118.15,3544.5
1328,8164,April,2025,20,119,2380
1328,8406,April,2025,5,92,460
1328,8407,April,2025,2,127.5,255
1328,8457,April,2025,15,61.2,918
1328,8467,April,2025,2,333.2,666.4
1328,8485,April,2025,10,93.5,935
1328,8603,April,2025,7,51.85,362.95
1328,8664,April,2025,5,63.75,318.75
1328,8974,April,2025,5,119,595
1328,8980,April,2025,2,93.5,187
1328,9001,April,2025,10,55.25,552.5
1330,25,April,2025,15,118.15,1772.25
1330,8901,April,2025,2,187,374
1331,25,April,2025,1,118.15,118.15
1331,8457,April,2025,1,61.2,61.2
1331,8974,April,2025,2,119,238
1331,8980,April,2025,1,93.5,93.5
1334,8406,April,2025,1,92,92
1334,8457,April,2025,1,61.2,61.2
1334,8474,April,2025,1,125.65,125.65
1334,8664,April,2025,1,63.75,63.75
1334,8974,April,2025,1,119,119
1339,25,April,2025,1,118.15,118.15
1339,8164,April,2025,1,119,119
1339,8457,April,2025,1,61.2,61.2
1339,8633,April,2025,1,79.81,79.81
1357,23,April,2025,1,79.67,79.67
1357,25,April,2025,1,118.15,118.15
1357,8534,April,2025,1,102,102
1357,8974,April,2025,1,119,119
1362,8407,April,2025,1,127.5,127.5
1362,8413,April,2025,1,95.17,95.17
1362,8457,April,2025,10,61.2,612
1362,8474,April,2025,2,125.65,251.3
1362,8512,April,2025,5,104.55,522.75
1362,8664,April,2025,10,63.75,637.5
1362,8974,April,2025,2,119,238
1362,9001,April,2025,10,55.25,552.5
1367,44,April,2025,1,90.94,90.94
1367,8406,April,2025,1,92,92
1367,8457,April,2025,2,61.2,122.4
1367,8485,April,2025,1,93.5,93.5
1367,8620,April,2025,1,144.5,144.5
1367,8664,April,2025,1,63.75,63.75
1367,8981,April,2025,1,85,85
1381,25,April,2025,30,118.15,3544.5
1381,8407,April,2025,3,127.5,382.5
1385,23,April,2025,1,79.67,79.67
1385,25,April,2025,2,118.15,236.3
1385,8164,April,2025,2,119,238
1385,8467,April,2025,1,333.2,333.2
1385,8534,April,2025,1,102,102
1385,8620,April,2025,1,144.5,144.5
1385,8633,April,2025,1,79.81,79.81
1385,8974,April,2025,3,119,357
1397,8457,April,2025,5,61.2,306
1397,8467,April,2025,1,333.2,333.2
1397,8485,April,2025,2,93.5,187
