customer_id,product_id,unit_return,product_rate,total_amount,date
19605,34,3,76.5,229.5,28-04-2025,
19605,8406,1,92,92,28-04-2025,
19605,8594,1,228.02,228.02,28-04-2025,
19605,8815,2,101.88,203.76,28-04-2025,
19605,8891,6,72.25,433.5,28-04-2025,
19607,25,1,118.15,118.15,12-04-2025,
19607,8674,50,85,4250,10-04-2025,
19622,8974,10,119,1190,09-04-2025,
19657,19,1,85,85,28-04-2025,
19657,33,2,96.78,193.56,28-04-2025,
19657,8474,4,125.65,502.6,28-04-2025,
19668,25,2,118.15,236.3,24-04-2025,
19668,8413,20,95.17,1903.4,24-04-2025,
19668,8474,1,125.65,125.65,24-04-2025,
19672,8407,4,127.5,510,10-04-2025,
19672,8467,3,333.2,999.6,10-04-2025,
19672,8594,3,228.02,684.06,10-04-2025,
19672,8974,10,119,1190,10-04-2025,
19675,11,4,53.79,215.16,19-04-2025,
19675,8163,3,65.21,195.63,19-04-2025,
19675,8284,19,43.49,826.31,19-04-2025,
19675,8816,2,50.55,101.1,19-04-2025,
19697,8674,10,85,850,10-04-2025,
19716,8510,2,599.15,1198.3,17-04-2025,
19745,3,2,324.7,649.4,23-04-2025,
19745,8673,10,41.34,413.4,23-04-2025,
19745,8974,10,119,1190,23-04-2025,
19745,9012,1,465.38,465.38,23-04-2025,
